rgb,name1,source1,name2,source2,date-accessed
"007722","Crusoe","https://www.htmlcsscolor.com/hex/007722","dark green","https://encycolorpedia.com/007722","Fri Mar 10 17:41:44 2023"
"007733","Dark Spring Green","https://www.htmlcsscolor.com/hex/007733","dark green-cyan","https://encycolorpedia.com/007733","Fri Mar 10 17:41:46 2023"
"007744","Watercourse","https://www.htmlcsscolor.com/hex/007744","dark green-cyan","https://encycolorpedia.com/007744","Fri Mar 10 17:41:47 2023"
"007755","Watercourse","https://www.htmlcsscolor.com/hex/007755","dark green-cyan","https://encycolorpedia.com/007755","Fri Mar 10 17:41:48 2023"
"007766","Tropical Rain Forest","https://www.htmlcsscolor.com/hex/007766","dark cyan","https://encycolorpedia.com/007766","Fri Mar 10 17:41:49 2023"
"007777","Surfie Green","https://www.htmlcsscolor.com/hex/007777","dark cyan","https://encycolorpedia.com/007777","Fri Mar 10 17:41:50 2023"
"007788","Teal","https://www.htmlcsscolor.com/hex/007788","Pantone / PMS 3145 U","https://encycolorpedia.com/007788","Fri Mar 10 17:41:51 2023"
"007799","Cerulean","https://www.htmlcsscolor.com/hex/007799","medium dark cyan","https://encycolorpedia.com/007799","Fri Mar 10 17:41:52 2023"
"0077AA","Cerulean","https://www.htmlcsscolor.com/hex/0077AA","medium dark cyan","https://encycolorpedia.com/0077AA","Fri Mar 10 17:41:54 2023"
"0077BB","Cerulean","https://www.htmlcsscolor.com/hex/0077BB","medium dark cyan-blue","https://encycolorpedia.com/0077BB","Fri Mar 10 17:41:56 2023"
"0077CC","Navy Blue","https://www.htmlcsscolor.com/hex/0077CC","medium dark cyan-blue","https://encycolorpedia.com/0077CC","Fri Mar 10 17:41:57 2023"
"0077DD","Navy Blue","https://www.htmlcsscolor.com/hex/0077DD","cyan-blue","https://encycolorpedia.com/0077DD","Fri Mar 10 17:41:58 2023"
"0077EE","Navy Blue","https://www.htmlcsscolor.com/hex/0077EE","cyan-blue","https://encycolorpedia.com/0077EE","Fri Mar 10 17:42:00 2023"
"0077FF","Dodger Blue","https://www.htmlcsscolor.com/hex/0077FF","cyan-blue","https://encycolorpedia.com/0077FF","Fri Mar 10 17:42:01 2023"
"008800","Green","https://www.htmlcsscolor.com/hex/008800","Caparol Viktoria 1","https://encycolorpedia.com/008800","Fri Mar 10 17:42:02 2023"
"008811","Green","https://www.htmlcsscolor.com/hex/008811","medium dark green","https://encycolorpedia.com/008811","Fri Mar 10 17:42:03 2023"
"008822","Forest Green","https://www.htmlcsscolor.com/hex/008822","medium dark green","https://encycolorpedia.com/008822","Fri Mar 10 17:42:04 2023"
"008833","Dark Spring Green","https://www.htmlcsscolor.com/hex/008833","medium dark green-cyan","https://encycolorpedia.com/008833","Fri Mar 10 17:42:06 2023"
"008844","Salem","https://www.htmlcsscolor.com/hex/008844","medium dark green-cyan","https://encycolorpedia.com/008844","Fri Mar 10 17:42:07 2023"
"008855","Shamrock Green","https://www.htmlcsscolor.com/hex/008855","medium dark green-cyan","https://encycolorpedia.com/008855","Fri Mar 10 17:42:08 2023"
"008866","Observatory","https://www.htmlcsscolor.com/hex/008866","medium dark green-cyan","https://encycolorpedia.com/008866","Fri Mar 10 17:42:10 2023"
"008877","Observatory","https://www.htmlcsscolor.com/hex/008877","medium dark cyan","https://encycolorpedia.com/008877","Fri Mar 10 17:42:12 2023"
"008888","Dark Cyan","https://www.htmlcsscolor.com/hex/008888","Crown Diamond 7339-73 Fiji Islands","https://encycolorpedia.com/008888","Fri Mar 10 17:42:14 2023"
